"id","boro_ct2000","median_hh_income"
57,"2028700","38446"
58,"2028800","54776"
1835,"2028900","31194"
2186,"2029300","62727"
1802,"2029500","49352"
1300,"2029600","29426"
2187,"2029700","59940"
763,"2030000","45289"
59,"2030100","48333"
1494,"2030200","41031"
2192,"2030700","69574"
866,"2031000","56406"
89,"2031200","50217"
91,"2031400","64167"
1316,"2031600","41364"
2194,"2031700","9625"
1333,"2031800","59179"
1652,"2031900","0"
1270,"2032000","57292"
1317,"2032200","45458"
1746,"2032300","58071"
1318,"2032400","18942"
655,"2032800","28347"
1804,"2032900","65080"
92,"2033000","30619"
1663,"2033200","32997"
1343,"2033300","168061"
2121,"2033400","31250"
1361,"2033600","25065"
1346,"2033800","25060"
1152,"2033900","50417"
656,"2034000","29459"
1211,"2034100","61076"
683,"2034200","40800"
1212,"2034300","60417"
684,"2034400","40368"
1151,"2034500","51250"
1332,"2034600","32821"
1334,"2035000","52656"
1344,"2035100","49957"
93,"2035200","33274"
94,"2035400","66250"
2030,"2035600","48859"
983,"2035800","43954"
1277,"2035900","31767"
1278,"2036100","12723"
740,"2036300","14632"
1337,"2036400","62644"
1919,"2036501","18125"
60,"2036502","18402"
1411,"2036600","46193"
1198,"2036700","17214"
61,"2036800","36406"
62,"2036901","11172"
64,"2036902","15602"
65,"2037000","44375"
2036,"2037100","16570"
66,"2037200","34180"
2018,"2037300","22536"
1281,"2037400","22137"
1065,"2037501","18854"
793,"2037502","12304"
67,"2037503","13667"
1373,"2037600","30132"
794,"2037700","13945"
1747,"2037800","30893"
1545,"2037900","22824"
1345,"2038000","30734"
1576,"2038100","19349"
788,"2038200","42102"
2009,"2038300","16433"
1505,"2038500","14679"
849,"2038600","35696"
2016,"2038700","17130"
847,"2038800","39420"
2017,"2038900","21936"
848,"2039000","37222"
2019,"2039100","19031"
68,"2039200","32440"
2037,"2039300","13163"
69,"2039400","30814"
70,"2039600","24045"
1999,"2039700","13250"
71,"2039800","40821"
1088,"2039901","19375"
2010,"2039902","16771"
72,"2040100","26779"
73,"2040301","26947"
74,"2040302","18750"
75,"2040400","37750"
76,"2040500","24709"
77,"2040600","29773"
78,"2040701","22014"
1331,"2040702","28198"
691,"2040800","29826"
1465,"2040900","41147"
1655,"2041000","0"
1537,"2041100","35320"
2002,"2041300","32037"
1437,"2041400","33585"
2004,"2041500","30763"
79,"2041800","42481"
2003,"2041900","26530"
702,"2042000","26175"
1468,"2042100","30272"
80,"2042200","35078"
81,"2042300","35491"
82,"2042400","46843"
1998,"2042500","27914"
903,"2042600","50972"
83,"2042800","61600"
885,"2042901","27162"
887,"2042902","28381"
84,"2043000","48580"
1402,"2043100","27774"
85,"2043200","31327"
1750,"2043500","80488"
86,"2043600","55588"
87,"2043800","42413"
88,"2044000","30750"
1438,"2044200","36475"
1439,"2044600","51615"
682,"2044800","63625"
1489,"2044901","52500"
1491,"2044902","45379"
741,"2045101","43106"
1488,"2045102","39931"
651,"2045400","57019"
1335,"2045800","12960"
1336,"2046000","30802"
1809,"2046201","40843"
2031,"2046202","39345"
1808,"2048400","57853"
1091,"2050200","63333"
1851,"2050400","0"
615,"2051600","56750"
2107,"3000100","63333"
1219,"3000200","29219"
978,"3000301","83739"
2108,"3000302","112414"
2052,"3000500","65013"
927,"3000700","66213"
614,"3000900","79201"
1643,"3001100","29732"
2071,"3001300","58828"
1862,"3001800","85000"
2202,"3002000","26813"
2109,"3002100","74464"
2185,"3002200","28164"
1100,"3002300","9876"
1536,"3002500","16680"
1644,"3002700","34375"
1858,"3002901","11641"
638,"3002902","27159"
122,"3003000","54375"
1511,"3003100","40641"
1927,"3003200","0"
1360,"3003300","45213"
1860,"3003400","51362"
1022,"3003500","44306"
755,"3003600","42476"
905,"3003700","36667"
1764,"3003800","65234"
906,"3003900","38686"
1881,"3004000","92945"
123,"3004100","61486"
124,"3004200","67000"
962,"3004300","56429"
963,"3004500","68182"
1880,"3004600","68594"
1878,"3004700","49427"
657,"3004900","62344"
1855,"3005000","61217"
2073,"3005100","51767"
1648,"3005201","21804"
1879,"3005202","54500"
2140,"3005400","45267"
2132,"3005500","46500"
1234,"3005601","43922"
1728,"3005602","45089"
1924,"3005700","32563"
125,"3005800","41522"
2079,"3005900","21674"
126,"3006000","45396"
1174,"3006200","34576"
1615,"3006300","60274"
1172,"3006400","45213"
1616,"3006500","62049"
650,"3006600","37500"
127,"3006700","70536"
756,"3006800","35292"
128,"3006900","55417"
2193,"3007000","39831"
867,"3007100","22011"
2189,"3007200","35417"
129,"3007400","35893"
1842,"3007500","69107"
2124,"3007600","31573"
1877,"3007700","44444"
130,"3007800","27750"
95,"3008000","26902"
660,"3008200","28648"
1782,"3008400","30054"
1058,"3008500","10372"
661,"3008600","0"
1783,"3008800","26582"
1186,"3009000","29338"
1187,"3009200","26597"
658,"3009400","28822"
659,"3009600","29654"
96,"3009800","28594"
1184,"3010000","29976"
97,"3010100","30788"
98,"3010200","29485"
99,"3010400","24574"
1185,"3010600","26895"
100,"3010800","28844"
101,"3011000","30786"
865,"3011200","19697"
102,"3011400","35107"
1181,"3011600","26330"
1609,"3011700","30833"
1289,"3011800","24655"
2201,"3012000","31797"
1600,"3012100","36343"
2197,"3012200","31688"
1870,"3012300","34375"
2198,"3012400","34444"
1843,"3012500","26625"
868,"3012700","19000"
103,"3012801","40341"
2157,"3012802","35625"
1038,"3012901","48024"
1039,"3012902","55625"
104,"3013000","36496"
817,"3013100","51131"
105,"3013200","34375"
106,"3013300","57885"
2190,"3013400","43920"
771,"3013500","51420"
2200,"3013600","42500"
107,"3013700","57042"
1173,"3013800","40117"
108,"3013900","42361"
1220,"3014000","57436"
818,"3014100","41840"
2204,"3014200","42713"
1623,"3014300","31771"
759,"3014400","57500"
820,"3014500","30735"
1175,"3014600","82736"
821,"3014700","34878"
1176,"3014800","47250"
819,"3014900","47569"
929,"3015000","34358"
109,"3015100","66815"
110,"3015300","66809"
1319,"3015400","0"
111,"3015500","63073"
1533,"3015600","56346"
112,"3015700","68787"
928,"3015800","51513"
1814,"3015900","67317"
2205,"3016000","41049"
1021,"3016100","65192"
2141,"3016200","44034"
1755,"3016300","59583"
2199,"3016400","60500"
1542,"3016500","77871"
1753,"3016700","68125"
113,"3016800","49444"
775,"3016900","43925"
114,"3017000","47569"
776,"3017100","63587"
1670,"3017200","34617"
115,"3017300","51944"
116,"3017400","50250"
965,"3017500","0"
117,"3017600","37633"
1811,"3017700","0"
118,"3017800","31652"
1023,"3017900","38750"
1188,"3018000","40565"
899,"3018100","48731"
1214,"3018200","41108"
953,"3018300","41648"
1671,"3018400","45699"
1859,"3018501","13668"
954,"3018502","25000"
119,"3018600","37667"
955,"3018700","33750"
120,"3018800","38512"
1107,"3018900","40357"
121,"3019000","30786"
1108,"3019100","38099"
131,"3019200","33839"
1149,"3019300","36034"
132,"3019400","32500"
133,"3019500","42587"
134,"3019600","36092"
135,"3019700","48885"
136,"3019800","43527"
1237,"3019900","38717"
673,"3020000","38936"
1238,"3020100","45189"
674,"3020200","47422"
1236,"3020300","38942"
137,"3020400","52321"
1027,"3020500","45256"
825,"3020600","52679"
1815,"3020700","50137"
138,"3020800","46544"
63,"3021000","33333"
139,"3021200","29179"
1113,"3021300","28696"
140,"3021400","32069"
1519,"3021500","39489"
1182,"3021600","25616"
514,"3021700","30712"
1183,"3021800","30259"
141,"3021900","26469"
142,"3022000","24846"
143,"3022100","21415"
167,"3022200","25919"
168,"3022300","29321"
1163,"3022400","34188"
169,"3022500","23846"
1167,"3022600","22316"
170,"3022700","31853"
1168,"3022800","23407"
1833,"3022900","31202"
1164,"3023000","22984"
1834,"3023100","35260"
1179,"3023200","21981"
1150,"3023300","23099"
1180,"3023400","17731"
171,"3023500","21875"
172,"3023600","16941"
173,"3023700","16797"
174,"3023800","23393"
1824,"3023900","20156"
175,"3024000","27930"
1128,"3024100","10500"
176,"3024200","29632"
889,"3024300","23358"
1033,"3024400","28824"
177,"3024500","24352"
178,"3024600","41738"
179,"3024700","17964"
180,"3024800","35086"
181,"3024900","28449"
182,"3025000","43717"
894,"3025100","21724"
183,"3025200","29470"
810,"3025300","27955"
184,"3025400","34803"
1825,"3025500","11822"
185,"3025600","40871"
727,"3025700","32275"
186,"3025800","31541"
686,"3025901","18150"
687,"3025902","13218"
187,"3026000","31651"
769,"3026100","15702"
188,"3026200","38000"
189,"3026300","25417"
190,"3026400","30525"
895,"3026500","24977"
191,"3026600","36458"
192,"3026700","32971"
193,"3026800","32672"
194,"3026900","26905"
195,"3027000","28380"
196,"3027101","26686"
1374,"3027102","29375"
197,"3027200","32356"
198,"3027300","29883"
199,"3027400","40691"
1036,"3027500","30241"
144,"3027600","30496"
1037,"3027700","23561"
145,"3027800","24730"
146,"3027900","19551"
147,"3028000","42500"
915,"3028100","12194"
148,"3028200","38382"
850,"3028300","12830"
149,"3028400","30727"
150,"3028501","38438"
875,"3028502","11859"
151,"3028600","22981"
1122,"3028700","15714"
152,"3028800","32171"
1123,"3028900","20461"
1596,"3029000","28634"
153,"3029100","26155"
90,"3029200","25655"
154,"3029300","22500"
931,"3029400","40227"
1204,"3029500","31765"
1597,"3029600","34824"
155,"3029700","33333"
156,"3029800","32385"
1405,"3029900","27733"
157,"3030000","37750"
809,"3030100","30636"
1320,"3030200","39881"
1139,"3030300","15020"
1321,"3030400","35724"
1132,"3030600","35515"
1083,"3030700","10516"
1045,"3030800","32670"
158,"3030900","13578"
